date,store,sales
2013-01-09,8,1689
2013-01-09,9,1401
2013-01-09,10,1606
2013-01-10,1,1339
2013-01-10,2,1956
2013-01-10,3,1677
2013-01-10,4,1475
2013-01-10,5,1166
2013-01-10,6,1177
2013-01-10,7,996
2013-01-10,8,1728
2013-01-10,9,1547
2013-01-10,10,1581
2013-01-11,1,1391
2013-01-11,2,1989
2013-01-11,3,1831
2013-01-11,4,1652
2013-01-11,5,1148
2013-01-11,6,1148
2013-01-11,7,1157
2013-01-11,8,1904
2013-01-11,9,1706
2013-01-11,10,1707
2013-01-12,1,1491
2013-01-12,2,2166
2013-01-12,3,1891
2013-01-12,4,1723
2013-01-12,5,1277
2013-01-12,6,1291
2013-01-12,7,1199
2013-01-12,8,2008
2013-01-12,9,1721
2013-01-12,10,1912
2013-01-13,1,1585
2013-01-13,2,2258
2013-01-13,3,1986
2013-01-13,4,1866
2013-01-13,5,1388
2013-01-13,6,1366
2013-01-13,7,1220
2013-01-13,8,2216
2013-01-13,9,1856
2013-01-13,10,2000
2013-01-14,1,1048
2013-01-14,2,1504
2013-01-14,3,1403
2013-01-14,4,1241
2013-01-14,5,882
2013-01-14,6,888
2013-01-14,7,833
2013-01-14,8,1453
2013-01-14,9,1194
2013-01-14,10,1300
2013-01-15,1,1279
2013-01-15,2,1766
2013-01-15,3,1514
2013-01-15,4,1388
2013-01-15,5,1048
2013-01-15,6,1095
2013-01-15,7,946
2013-01-15,8,1716
2013-01-15,9,1393
2013-01-15,10,1480
2013-01-16,1,1232
2013-01-16,2,1749
2013-01-16,3,1508
2013-01-16,4,1362
2013-01-16,5,1056
2013-01-16,6,1000
2013-01-16,7,926
2013-01-16,8,1737
2013-01-16,9,1428
2013-01-16,10,1593
2013-01-17,1,1303
2013-01-17,2,1826
2013-01-17,3,1713
2013-01-17,4,1509
2013-01-17,5,1101
2013-01-17,6,1118
2013-01-17,7,1033
2013-01-17,8,1843
2013-01-17,9,1519
2013-01-17,10,1622
2013-01-18,1,1368
2013-01-18,2,2058
2013-01-18,3,1737
2013-01-18,4,1659
2013-01-18,5,1191
2013-01-18,6,1177
2013-01-18,7,1090
2013-01-18,8,1917
2013-01-18,9,1620
2013-01-18,10,1678
2013-01-19,1,1450
2013-01-19,2,2125
2013-01-19,3,1860
2013-01-19,4,1721
2013-01-19,5,1217
2013-01-19,6,1255
2013-01-19,7,1086
2013-01-19,8,1996
2013-01-19,9,1754
2013-01-19,10,1830
2013-01-20,1,1607
2013-01-20,2,2236
2013-01-20,3,1925
2013-01-20,4,1880
2013-01-20,5,1356
2013-01-20,6,1361
2013-01-20,7,1206
2013-01-20,8,2129
2013-01-20,9,1845
2013-01-20,10,2067
2013-01-21,1,1027
2013-01-21,2,1546
2013-01-21,3,1376
2013-01-21,4,1259
2013-01-21,5,896
2013-01-21,6,845
2013-01-21,7,817
2013-01-21,8,1416
2013-01-21,9,1239
2013-01-21,10,1288
2013-01-22,1,1284
2013-01-22,2,1732
2013-01-22,3,1561
2013-01-22,4,1434
2013-01-22,5,1061
2013-01-22,6,1095
2013-01-22,7,964
2013-01-22,8,1708
2013-01-22,9,1397
2013-01-22,10,1488
2013-01-23,1,1187
2013-01-23,2,1744
2013-01-23,3,1531
2013-01-23,4,1415
2013-01-23,5,1025
2013-01-23,6,1104
2013-01-23,7,966
2013-01-23,8,1653
2013-01-23,9,1400
2013-01-23,10,1588
2013-01-24,1,1327
2013-01-24,2,1792
2013-01-24,3,1679
2013-01-24,4,1466
2013-01-24,5,1125
2013-01-24,6,1079
2013-01-24,7,1049
2013-01-24,8,1768
2013-01-24,9,1582
2013-01-24,10,1605
2013-01-25,1,1396
2013-01-25,2,2062
2013-01-25,3,1774
2013-01-25,4,1654
2013-01-25,5,1195
2013-01-25,6,1216
2013-01-25,7,1046
2013-01-25,8,1869
2013-01-25,9,1627
2013-01-25,10,1801
2013-01-26,1,1443
2013-01-26,2,2164
2013-01-26,3,1904
2013-01-26,4,1713
2013-01-26,5,1291
2013-01-26,6,1262
2013-01-26,7,1185
2013-01-26,8,2049
2013-01-26,9,1744
2013-01-26,10,1806
2013-01-27,1,1565
2013-01-27,2,2289
2013-01-27,3,2063
2013-01-27,4,1806
2013-01-27,5,1229
2013-01-27,6,1331
2013-01-27,7,1250
2013-01-27,8,2143
2013-01-27,9,1933
2013-01-27,10,1970
2013-01-28,1,1045
2013-01-28,2,1503
2013-01-28,3,1359
2013-01-28,4,1241
2013-01-28,5,856
2013-01-28,6,863
2013-01-28,7,811
2013-01-28,8,1536
2013-01-28,9,1274
2013-01-28,10,1360
2013-01-29,1,1238
2013-01-29,2,1748
2013-01-29,3,1569
2013-01-29,4,1446
2013-01-29,5,1003
2013-01-29,6,1079
2013-01-29,7,924
2013-01-29,8,1689
2013-01-29,9,1443
2013-01-29,10,1585
2013-01-30,1,1152
2013-01-30,2,1722
2013-01-30,3,1527
2013-01-30,4,1459
2013-01-30,5,1029
2013-01-30,6,1022
2013-01-30,7,895
2013-01-30,8,1669
2013-01-30,9,1385
2013-01-30,10,1531
2013-01-31,1,1388
2013-01-31,2,1790
2013-01-31,3,1755
2013-01-31,4,1531
2013-01-31,5,1124
2013-01-31,6,1120
2013-01-31,7,970
2013-01-31,8,1858
2013-01-31,9,1535
2013-01-31,10,1653
2013-02-01,1,1643
2013-02-01,2,2241
2013-02-01,3,1995
2013-02-01,4,1838
2013-02-01,5,1361
2013-02-01,6,1338
2013-02-01,7,1185
2013-02-01,8,2104
2013-02-01,9,1810
2013-02-01,10,1958
2013-02-02,1,1656
2013-02-02,2,2488
2013-02-02,3,2018
2013-02-02,4,1972
2013-02-02,5,1399
2013-02-02,6,1359
2013-02-02,7,1343
2013-02-02,8,2203
2013-02-02,9,1806
2013-02-02,10,2079
2013-02-03,1,1704
2013-02-03,2,2566
2013-02-03,3,2206
2013-02-03,4,2098
2013-02-03,5,1495
2013-02-03,6,1524
2013-02-03,7,1343
2013-02-03,8,2287
2013-02-03,9,2169
2013-02-03,10,2152
2013-02-04,1,1186
2013-02-04,2,1655
2013-02-04,3,1497
2013-02-04,4,1399
2013-02-04,5,922
2013-02-04,6,1011
2013-02-04,7,876
2013-02-04,8,1592
2013-02-04,9,1370
2013-02-04,10,1490
2013-02-05,1,1319
2013-02-05,2,1929
2013-02-05,3,1714
2013-02-05,4,1542
2013-02-05,5,1145
2013-02-05,6,1172
2013-02-05,7,1085
2013-02-05,8,1809
2013-02-05,9,1621
2013-02-05,10,1620
2013-02-06,1,1332
2013-02-06,2,2004
2013-02-06,3,1767
2013-02-06,4,1619
2013-02-06,5,1078
2013-02-06,6,1135
2013-02-06,7,1037
2013-02-06,8,1929
2013-02-06,9,1555
2013-02-06,10,1668
2013-02-07,1,1474
2013-02-07,2,2127
2013-02-07,3,1851
2013-02-07,4,1733
2013-02-07,5,1204
2013-02-07,6,1189
2013-02-07,7,1098
2013-02-07,8,1990
2013-02-07,9,1717
2013-02-07,10,1729
2013-02-08,1,1606
2013-02-08,2,2172
2013-02-08,3,1963
2013-02-08,4,1911
2013-02-08,5,1359
2013-02-08,6,1330
2013-02-08,7,1171
2013-02-08,8,2147
2013-02-08,9,1780
2013-02-08,10,2011
2013-02-09,1,1617
2013-02-09,2,2306
2013-02-09,3,2073
2013-02-09,4,1958
2013-02-09,5,1338
2013-02-09,6,1426
2013-02-09,7,1289
2013-02-09,8,2414
2013-02-09,9,1981
2013-02-09,10,2023
2013-02-10,1,1747
2013-02-10,2,2578
2013-02-10,3,2140
2013-02-10,4,2043
2013-02-10,5,1528
2013-02-10,6,1442
2013-02-10,7,1376
2013-02-10,8,2403
2013-02-10,9,1981
2013-02-10,10,2263
2013-02-11,1,1141
2013-02-11,2,1728
2013-02-11,3,1465
2013-02-11,4,1262
2013-02-11,5,1026
2013-02-11,6,1011
2013-02-11,7,916
2013-02-11,8,1583
2013-02-11,9,1352
2013-02-11,10,1477
2013-02-12,1,1406
2013-02-12,2,1940
2013-02-12,3,1735
2013-02-12,4,1542
2013-02-12,5,1165
2013-02-12,6,1114
2013-02-12,7,1079
2013-02-12,8,1869
2013-02-12,9,1621
2013-02-12,10,1683
2013-02-13,1,1376
2013-02-13,2,1971
2013-02-13,3,1733
2013-02-13,4,1718
2013-02-13,5,1156
2013-02-13,6,1118
2013-02-13,7,1028
2013-02-13,8,1817
2013-02-13,9,1606
2013-02-13,10,1751
2013-02-14,1,1418
2013-02-14,2,2055
2013-02-14,3,1980
2013-02-14,4,1774
2013-02-14,5,1252
2013-02-14,6,1256
2013-02-14,7,1115
2013-02-14,8,1995
2013-02-14,9,1706
2013-02-14,10,1828
2013-02-15,1,1572
2013-02-15,2,2285
2013-02-15,3,1966
2013-02-15,4,1830
2013-02-15,5,1373
2013-02-15,6,1327
2013-02-15,7,1212
2013-02-15,8,2234
2013-02-15,9,1819
2013-02-15,10,1945
2013-02-16,1,1645
2013-02-16,2,2449
2013-02-16,3,2056
2013-02-16,4,1985
2013-02-16,5,1352
2013-02-16,6,1398
2013-02-16,7,1284
2013-02-16,8,2238
2013-02-16,9,1975
2013-02-16,10,2046
2013-02-17,1,1779
2013-02-17,2,2513
2013-02-17,3,2192
2013-02-17,4,2066
2013-02-17,5,1492
2013-02-17,6,1498
2013-02-17,7,1353
2013-02-17,8,2349
2013-02-17,9,2093
2013-02-17,10,2167
2013-02-18,1,1225
2013-02-18,2,1648
2013-02-18,3,1406
2013-02-18,4,1324
2013-02-18,5,1045
2013-02-18,6,965
2013-02-18,7,949
2013-02-18,8,1553
2013-02-18,9,1284
2013-02-18,10,1459
2013-02-19,1,1370
2013-02-19,2,1966
2013-02-19,3,1685
2013-02-19,4,1665
2013-02-19,5,1189
2013-02-19,6,1162
2013-02-19,7,1040
2013-02-19,8,1911
2013-02-19,9,1636
2013-02-19,10,1735
2013-02-20,1,1350
2013-02-20,2,1917
2013-02-20,3,1752
2013-02-20,4,1571
2013-02-20,5,1195
2013-02-20,6,1163
2013-02-20,7,1061
2013-02-20,8,1763
2013-02-20,9,1504
2013-02-20,10,1633
2013-02-21,1,1476
2013-02-21,2,2094
2013-02-21,3,1912
2013-02-21,4,1725
2013-02-21,5,1216
2013-02-21,6,1160
2013-02-21,7,1112
2013-02-21,8,1992
2013-02-21,9,1752
2013-02-21,10,1890
2013-02-22,1,1587
2013-02-22,2,2275
2013-02-22,3,1932
2013-02-22,4,1883
2013-02-22,5,1239
2013-02-22,6,1279
2013-02-22,7,1195
2013-02-22,8,2131
2013-02-22,9,1894
2013-02-22,10,1978
2013-02-23,1,1689
2013-02-23,2,2320
2013-02-23,3,2059
2013-02-23,4,1906
2013-02-23,5,1425
2013-02-23,6,1462
2013-02-23,7,1297
2013-02-23,8,2237
2013-02-23,9,1895
2013-02-23,10,2146
2013-02-24,1,1728
2013-02-24,2,2563
2013-02-24,3,2230
2013-02-24,4,2097
2013-02-24,5,1441
2013-02-24,6,1462
2013-02-24,7,1329
2013-02-24,8,2325
2013-02-24,9,2045
2013-02-24,10,2262
2013-02-25,1,1173
2013-02-25,2,1653
2013-02-25,3,1498
2013-02-25,4,1402
2013-02-25,5,1035
2013-02-25,6,966
2013-02-25,7,931
2013-02-25,8,1624
2013-02-25,9,1369
2013-02-25,10,1407
2013-02-26,1,1348
2013-02-26,2,1942
2013-02-26,3,1750
2013-02-26,4,1619
2013-02-26,5,1120
2013-02-26,6,1182
2013-02-26,7,1062
2013-02-26,8,1879
2013-02-26,9,1574
2013-02-26,10,1708
2013-02-27,1,1279
2013-02-27,2,1956
2013-02-27,3,1697
2013-02-27,4,1624
2013-02-27,5,1165
2013-02-27,6,1146
2013-02-27,7,1079
2013-02-27,8,1905
2013-02-27,9,1509
2013-02-27,10,1654
2013-02-28,1,1460
2013-02-28,2,2043
2013-02-28,3,1809
2013-02-28,4,1700
2013-02-28,5,1203
2013-02-28,6,1213
2013-02-28,7,1176
2013-02-28,8,1996
2013-02-28,9,1766
2013-02-28,10,1862
2013-03-01,1,1933
2013-03-01,2,2732
2013-03-01,3,2258
2013-03-01,4,2179
2013-03-01,5,1577
2013-03-01,6,1681
2013-03-01,7,1421
2013-03-01,8,2604
2013-03-01,9,2220
2013-03-01,10,2373
2013-03-02,1,2011
2013-03-02,2,2905
2013-03-02,3,2447
2013-03-02,4,2397
2013-03-02,5,1722
2013-03-02,6,1702
2013-03-02,7,1536
2013-03-02,8,2693
2013-03-02,9,2250
2013-03-02,10,2431
2013-03-03,1,2102
2013-03-03,2,3035
2013-03-03,3,2701
2013-03-03,4,2450
2013-03-03,5,1795
2013-03-03,6,1798
2013-03-03,7,1525
2013-03-03,8,2806
2013-03-03,9,2447
2013-03-03,10,2601
2013-03-04,1,1406
2013-03-04,2,2023
2013-03-04,3,1697
2013-03-04,4,1634
2013-03-04,5,1211
2013-03-04,6,1248
2013-03-04,7,1117
2013-03-04,8,1986
2013-03-04,9,1617
2013-03-04,10,1771
2013-03-05,1,1622
2013-03-05,2,2340
2013-03-05,3,2148
2013-03-05,4,1835
2013-03-05,5,1350
2013-03-05,6,1363
2013-03-05,7,1247
2013-03-05,8,2210
2013-03-05,9,1991
2013-03-05,10,2083
2013-03-06,1,1716
2013-03-06,2,2390
2013-03-06,3,2145
2013-03-06,4,1930
2013-03-06,5,1398
2013-03-06,6,1418
2013-03-06,7,1241
2013-03-06,8,2185
2013-03-06,9,1968
2013-03-06,10,2044
2013-03-07,1,1816
2013-03-07,2,2428
2013-03-07,3,2238
2013-03-07,4,2015
2013-03-07,5,1484
2013-03-07,6,1495
2013-03-07,7,1342
2013-03-07,8,2331
2013-03-07,9,1991
2013-03-07,10,2170
2013-03-08,1,1916
2013-03-08,2,2653
2013-03-08,3,2338
2013-03-08,4,2134
2013-03-08,5,1623
2013-03-08,6,1611
2013-03-08,7,1438
2013-03-08,8,2589
2013-03-08,9,2115
2013-03-08,10,2338
2013-03-09,1,1989
2013-03-09,2,2860
2013-03-09,3,2504
2013-03-09,4,2226
2013-03-09,5,1683
2013-03-09,6,1658
2013-03-09,7,1554
2013-03-09,8,2693
2013-03-09,9,2358
2013-03-09,10,2529
2013-03-10,1,2149
2013-03-10,2,2980
2013-03-10,3,2689
2013-03-10,4,2419
2013-03-10,5,1743
2013-03-10,6,1748
2013-03-10,7,1609
2013-03-10,8,2898
2013-03-10,9,2393
2013-03-10,10,2624
2013-03-11,1,1365
2013-03-11,2,1965
2013-03-11,3,1722
2013-03-11,4,1631
2013-03-11,5,1172
2013-03-11,6,1163
2013-03-11,7,1042
2013-03-11,8,1892
2013-03-11,9,1667
2013-03-11,10,1704
2013-03-12,1,1580
2013-03-12,2,2302
2013-03-12,3,2042
2013-03-12,4,1861
2013-03-12,5,1401
2013-03-12,6,1360
2013-03-12,7,1330
2013-03-12,8,2256
2013-03-12,9,1912
2013-03-12,10,1985
2013-03-13,1,1607
2013-03-13,2,2412
2013-03-13,3,2112
2013-03-13,4,1987
2013-03-13,5,1373
2013-03-13,6,1424
2013-03-13,7,1298
2013-03-13,8,2239
2013-03-13,9,1922
2013-03-13,10,2039
2013-03-14,1,1755
2013-03-14,2,2423
2013-03-14,3,2223
2013-03-14,4,2118
2013-03-14,5,1443
2013-03-14,6,1477
2013-03-14,7,1363
2013-03-14,8,2376
2013-03-14,9,2081
2013-03-14,10,2136
2013-03-15,1,1817
2013-03-15,2,2669
2013-03-15,3,2324
2013-03-15,4,2194
2013-03-15,5,1622
2013-03-15,6,1599
2013-03-15,7,1498
2013-03-15,8,2465
2013-03-15,9,2205
2013-03-15,10,2270
2013-03-16,1,2057
2013-03-16,2,2801
2013-03-16,3,2504
2013-03-16,4,2280
2013-03-16,5,1722
2013-03-16,6,1679
2013-03-16,7,1569
2013-03-16,8,2692
2013-03-16,9,2313
2013-03-16,10,2527
2013-03-17,1,2065
2013-03-17,2,3020
2013-03-17,3,2633
2013-03-17,4,2475
2013-03-17,5,1785
2013-03-17,6,1747
2013-03-17,7,1622
2013-03-17,8,2924
2013-03-17,9,2424
2013-03-17,10,2643
2013-03-18,1,1479
2013-03-18,2,2025
2013-03-18,3,1788
2013-03-18,4,1597
2013-03-18,5,1198
2013-03-18,6,1186
2013-03-18,7,1119
2013-03-18,8,1827
2013-03-18,9,1605
2013-03-18,10,1759
2013-03-19,1,1675
2013-03-19,2,2313
2013-03-19,3,2051
2013-03-19,4,1903
2013-03-19,5,1409
2013-03-19,6,1351
2013-03-19,7,1272
2013-03-19,8,2293
2013-03-19,9,1861
2013-03-19,10,2107
2013-03-20,1,1692
2013-03-20,2,2337
2013-03-20,3,2039
2013-03-20,4,1846
2013-03-20,5,1371
2013-03-20,6,1390
2013-03-20,7,1276
2013-03-20,8,2240
2013-03-20,9,1855
2013-03-20,10,2051
2013-03-21,1,1709
2013-03-21,2,2543
2013-03-21,3,2216
2013-03-21,4,2020
2013-03-21,5,1446
2013-03-21,6,1442
2013-03-21,7,1336
2013-03-21,8,2431
2013-03-21,9,2091
2013-03-21,10,2171
2013-03-22,1,1802
2013-03-22,2,2706
2013-03-22,3,2360
2013-03-22,4,2126
2013-03-22,5,1616
2013-03-22,6,1619
2013-03-22,7,1436
2013-03-22,8,2607
2013-03-22,9,2216
2013-03-22,10,2324
2013-03-23,1,1979
2013-03-23,2,2864
2013-03-23,3,2497
2013-03-23,4,2329
2013-03-23,5,1700
2013-03-23,6,1660
2013-03-23,7,1506
2013-03-23,8,2761
2013-03-23,9,2351
2013-03-23,10,2461
2013-03-24,1,2093
2013-03-24,2,2977
2013-03-24,3,2707
2013-03-24,4,2389
2013-03-24,5,1776
2013-03-24,6,1742
2013-03-24,7,1621
2013-03-24,8,2906
2013-03-24,9,2505
2013-03-24,10,2571
2013-03-25,1,1376
2013-03-25,2,1998
2013-03-25,3,1779
2013-03-25,4,1630
2013-03-25,5,1182
2013-03-25,6,1238
2013-03-25,7,1115
2013-03-25,8,1886
2013-03-25,9,1650
2013-03-25,10,1793
2013-03-26,1,1625
2013-03-26,2,2430
2013-03-26,3,2027
2013-03-26,4,1874
2013-03-26,5,1381
2013-03-26,6,1376
2013-03-26,7,1322
2013-03-26,8,2261
2013-03-26,9,1960
2013-03-26,10,2052
2013-03-27,1,1574
2013-03-27,2,2360
2013-03-27,3,2112
2013-03-27,4,1927
2013-03-27,5,1450
2013-03-27,6,1401
2013-03-27,7,1246
2013-03-27,8,2193
2013-03-27,9,1983
2013-03-27,10,2030
2013-03-28,1,1816
2013-03-28,2,2588
2013-03-28,3,2191
2013-03-28,4,2115
2013-03-28,5,1469
2013-03-28,6,1546
2013-03-28,7,1335
2013-03-28,8,2383
2013-03-28,9,2079
2013-03-28,10,2220
2013-03-29,1,1889
2013-03-29,2,2655
2013-03-29,3,2303
2013-03-29,4,2170
2013-03-29,5,1548
2013-03-29,6,1576
2013-03-29,7,1377
2013-03-29,8,2580
2013-03-29,9,2197
2013-03-29,10,2416
2013-03-30,1,2052
2013-03-30,2,2875
2013-03-30,3,2515
2013-03-30,4,2382
2013-03-30,5,1653
2013-03-30,6,1733
2013-03-30,7,1563
2013-03-30,8,2714
2013-03-30,9,2319
2013-03-30,10,2486
2013-03-31,1,2160
2013-03-31,2,3000
2013-03-31,3,2759
2013-03-31,4,2449
2013-03-31,5,1779
2013-03-31,6,1783
2013-03-31,7,1656
2013-03-31,8,2968
2013-03-31,9,2443
2013-03-31,10,2540
2013-04-01,1,1711
2013-04-01,2,2471
2013-04-01,3,2026
2013-04-01,4,1788
2013-04-01,5,1380
2013-04-01,6,1359
2013-04-01,7,1278
2013-04-01,8,2155
2013-04-01,9,1950
2013-04-01,10,2086
2013-04-02,1,1875
2013-04-02,2,2736
2013-04-02,3,2392
2013-04-02,4,2265
2013-04-02,5,1662
2013-04-02,6,1647
2013-04-02,7,1455
2013-04-02,8,2541
2013-04-02,9,2234
2013-04-02,10,2411
2013-04-03,1,1894
2013-04-03,2,2719
2013-04-03,3,2381
2013-04-03,4,2195
2013-04-03,5,1652
2013-04-03,6,1583
2013-04-03,7,1457
2013-04-03,8,2517
2013-04-03,9,2236
2013-04-03,10,2491
2013-04-04,1,2048
2013-04-04,2,2952
2013-04-04,3,2650
2013-04-04,4,2384
2013-04-04,5,1652
2013-04-04,6,1774
2013-04-04,7,1656
2013-04-04,8,2849
2013-04-04,9,2341
2013-04-04,10,2553
2013-04-05,1,2178
2013-04-05,2,3077
2013-04-05,3,2831
2013-04-05,4,2496
2013-04-05,5,1873
2013-04-05,6,1876
2013-04-05,7,1621
2013-04-05,8,2949
2013-04-05,9,2588
2013-04-05,10,2691
2013-04-06,1,2447
2013-04-06,2,3302
2013-04-06,3,2891
2013-04-06,4,2670
2013-04-06,5,1960
2013-04-06,6,1964
2013-04-06,7,1770
2013-04-06,8,3273
2013-04-06,9,2720
2013-04-06,10,2808
2013-04-07,1,2465
2013-04-07,2,3414
2013-04-07,3,3105
2013-04-07,4,2912
2013-04-07,5,2055
2013-04-07,6,2060
2013-04-07,7,1896
2013-04-07,8,3322
2013-04-07,9,2787
2013-04-07,10,3156
2013-04-08,1,1569
2013-04-08,2,2336
2013-04-08,3,1966
2013-04-08,4,1849
2013-04-08,5,1374
2013-04-08,6,1375
2013-04-08,7,1313
2013-04-08,8,2295
2013-04-08,9,1892
2013-04-08,10,2036
2013-04-09,1,1934
2013-04-09,2,2779
2013-04-09,3,2425
2013-04-09,4,2230
2013-04-09,5,1725
2013-04-09,6,1579
2013-04-09,7,1432
2013-04-09,8,2542
2013-04-09,9,2212
2013-04-09,10,2318
2013-04-10,1,1952
2013-04-10,2,2685
2013-04-10,3,2438
2013-04-10,4,2241
2013-04-10,5,1578
2013-04-10,6,1598
2013-04-10,7,1434
2013-04-10,8,2668
2013-04-10,9,2208
2013-04-10,10,2395
2013-04-11,1,2055
2013-04-11,2,3036
2013-04-11,3,2662
2013-04-11,4,2442
2013-04-11,5,1667
2013-04-11,6,1712
2013-04-11,7,1550
2013-04-11,8,2851
2013-04-11,9,2445
2013-04-11,10,2555
2013-04-12,1,2159
2013-04-12,2,3170
2013-04-12,3,2758
2013-04-12,4,2487
2013-04-12,5,1850
2013-04-12,6,1837
2013-04-12,7,1648
2013-04-12,8,2946
2013-04-12,9,2595
2013-04-12,10,2733
2013-04-13,1,2369
2013-04-13,2,3250
2013-04-13,3,2994
2013-04-13,4,2659
2013-04-13,5,2004
2013-04-13,6,1894
2013-04-13,7,1827
2013-04-13,8,3106
2013-04-13,9,2748
2013-04-13,10,2907
2013-04-14,1,2504
2013-04-14,2,3667
2013-04-14,3,3126
2013-04-14,4,2833
2013-04-14,5,2072
2013-04-14,6,1982
2013-04-14,7,1919
2013-04-14,8,3289
2013-04-14,9,2832
2013-04-14,10,3165
2013-04-15,1,1682
2013-04-15,2,2284
2013-04-15,3,2026
2013-04-15,4,1949
2013-04-15,5,1327
2013-04-15,6,1340
2013-04-15,7,1231
2013-04-15,8,2242
2013-04-15,9,1940
2013-04-15,10,2059
2013-04-16,1,1909
2013-04-16,2,2736
2013-04-16,3,2404
2013-04-16,4,2302
2013-04-16,5,1598
2013-04-16,6,1634
2013-04-16,7,1503
2013-04-16,8,2603
2013-04-16,9,2279
2013-04-16,10,2461
2013-04-17,1,1867
2013-04-17,2,2684
2013-04-17,3,2513
2013-04-17,4,2266
2013-04-17,5,1586
2013-04-17,6,1635
2013-04-17,7,1536
2013-04-17,8,2610
2013-04-17,9,2208
2013-04-17,10,2304
2013-04-18,1,1982
2013-04-18,2,2931
2013-04-18,3,2617
2013-04-18,4,2424
2013-04-18,5,1722
2013-04-18,6,1716
2013-04-18,7,1606
2013-04-18,8,2795
2013-04-18,9,2426
2013-04-18,10,2619
2013-04-19,1,2144
2013-04-19,2,3119
2013-04-19,3,2694
2013-04-19,4,2600
2013-04-19,5,1771
2013-04-19,6,1861
2013-04-19,7,1669
2013-04-19,8,3025
2013-04-19,9,2457
2013-04-19,10,2737
2013-04-20,1,2266
2013-04-20,2,3329
2013-04-20,3,2932
2013-04-20,4,2723
2013-04-20,5,1949
2013-04-20,6,1963
2013-04-20,7,1749
2013-04-20,8,3129
2013-04-20,9,2680
2013-04-20,10,2833
2013-04-21,1,2518
2013-04-21,2,3566
2013-04-21,3,3032
2013-04-21,4,2919
2013-04-21,5,2114
2013-04-21,6,2072
2013-04-21,7,1836
2013-04-21,8,3481
2013-04-21,9,2868
2013-04-21,10,3031
2013-04-22,1,1637
2013-04-22,2,2341
2013-04-22,3,2190
2013-04-22,4,1903
2013-04-22,5,1433
2013-04-22,6,1375
2013-04-22,7,1269
2013-04-22,8,2274
2013-04-22,9,1960
2013-04-22,10,2033
2013-04-23,1,1938
2013-04-23,2,2773
2013-04-23,3,2435
2013-04-23,4,2228
2013-04-23,5,1694
2013-04-23,6,1617
2013-04-23,7,1530
2013-04-23,8,2620
2013-04-23,9,2232
2013-04-23,10,2378
2013-04-24,1,1990
2013-04-24,2,2646
2013-04-24,3,2388
2013-04-24,4,2337
2013-04-24,5,1673
2013-04-24,6,1640
2013-04-24,7,1504
2013-04-24,8,2521
2013-04-24,9,2257
2013-04-24,10,2466
2013-04-25,1,2037
2013-04-25,2,2907
2013-04-25,3,2610
2013-04-25,4,2408
2013-04-25,5,1739
2013-04-25,6,1719
2013-04-25,7,1579
2013-04-25,8,2756
2013-04-25,9,2376
2013-04-25,10,2476
2013-04-26,1,2169
2013-04-26,2,3138
2013-04-26,3,2696
2013-04-26,4,2652
2013-04-26,5,1852
2013-04-26,6,1818
2013-04-26,7,1714
2013-04-26,8,2990
2013-04-26,9,2527
2013-04-26,10,2747
2013-04-27,1,2265
2013-04-27,2,3309
2013-04-27,3,2935
2013-04-27,4,2617
2013-04-27,5,1899
2013-04-27,6,1881
2013-04-27,7,1797
2013-04-27,8,3114
